Disease,OPCS4code,OPCS4codeDescr,Category,ICD10code,ICD10codeDescr
Infections of the digestive system,,,Diagnosis of Infections of the digestive system,A07,Other protozoal intestinal diseases
Infections of the digestive system,,,Diagnosis of Infections of the digestive system,A08,Viral and other specified intestinal infections
Infections of the digestive system,,,Diagnosis of Infections of the digestive system,A09,Other gastroenteritis and colitis of infectious and unspecified origin
Infections of the digestive system,,,Diagnosis of Infections of the digestive system,A183,"Tuberculosis of intestines, peritoneum and mesenteric glands"
Infections of the digestive system,,,Diagnosis of Infections of the digestive system,A213,Gastrointestinal tularaemia
Infections of the digestive system,,,Diagnosis of Infections of the digestive system,A222,Gastrointestinal anthrax
Infections of the digestive system,,,Diagnosis of Infections of the digestive system,B054,Measles with intestinal complications
Infections of the digestive system,,,Diagnosis of Infections of the digestive system,B462,Gastrointestinal mucormycosis
Infections of the digestive system,,,Diagnosis of Infections of the digestive system,B780,Intestinal strongyloidiasis
Infections of the digestive system,,,Diagnosis of Infections of the digestive system,B81,"Other intestinal helminthiases, not elsewhere classified"
Infections of the digestive system,,,Diagnosis of Infections of the digestive system,B82,Unspecified intestinal parasitism
Infections of the digestive system,,,Diagnosis of Infections of the digestive system,B980,Helicobacter pylori [H.pylori] as the cause of diseases classified to other chapters
Infections of the digestive system,,,Diagnosis of Infections of the digestive system,K230,Tuberculous oesophagitis
Infections of the digestive system,,,Diagnosis of Infections of the digestive system,K231,Megaoesophagus in Chagas' disease
Infections of the digestive system,,,Diagnosis of Infections of the digestive system,K630,Abscess of intestine
Infections of the digestive system,,,Diagnosis of Infections of the digestive system,K930,"Tuberculous disorders of intestines, peritoneum and mesenteric glands"
Heart failure,,,Diagnosis of Heart failure,I110,Hypertensive heart disease with (congestive) heart failure
Heart failure,,,Diagnosis of Heart failure,I130,Hypertensive heart and renal disease with (congestive) heart failure
Heart failure,,,Diagnosis of Heart failure,I132,Hypertensive heart and renal disease with both (congestive) heart failure and renal failure
Heart failure,,,Diagnosis of Heart failure,I50,Heart failure
Intracerebral haemorrhage,,,Diagnosis of Intracerebral haemorrhage,I61,Intracerebral haemorrhage
Intracerebral haemorrhage,,,History of intracerebral haemorrhage,I691,Sequelae of intracerebral haemorrhage
Primary Malignancy_Breast,,,Diagnosis of Primary Malignancy_Breast,C50,Malignant neoplasm of breast
Primary Malignancy_Breast,,,Diagnosis of Primary Malignancy_Breast,D05,Carcinoma in situ of breast
Primary Malignancy_colorectal and anus,,,Diagnosis of Primary Malignancy_colorectal and anus,C18,Malignant neoplasm of colon
Primary Malignancy_colorectal and anus,,,Diagnosis of Primary Malignancy_colorectal and anus,C19,Malignant neoplasm of rectosigmoid junction
Primary Malignancy_colorectal and anus,,,Diagnosis of Primary Malignancy_colorectal and anus,C20,Malignant neoplasm of rectum
Primary Malignancy_colorectal and anus,,,Diagnosis of Primary Malignancy_colorectal and anus,C21,Malignant neoplasm of anus and anal canal
Primary Malignancy_Mesothelioma,,,Diagnosis of Primary Malignancy_Mesothelioma,C45,Mesothelioma
Primary Malignancy_Uterine,,,Diagnosis of Primary Malignancy_Uterine,C54,Malignant neoplasm of corpus uteri
Primary Malignancy_Uterine,,,Diagnosis of Primary Malignancy_Uterine,C55,"Malignant neoplasm of uterus, part unspecified"
Primary Malignancy_Kidney and Ureter,,,Diagnosis of Primary Malignancy_Kidney and Ureter,C64,"Malignant neoplasm of kidney, except renal pelvis"
Primary Malignancy_Kidney and Ureter,,,Diagnosis of Primary Malignancy_Kidney and Ureter,C65,Malignant neoplasm of renal pelvis
Primary Malignancy_Kidney and Ureter,,,Diagnosis of Primary Malignancy_Kidney and Ureter,C66,Malignant neoplasm of ureter
Allergic and chronic rhinitis,,,Diagnosis of Allergic and chronic rhinitis,J301,Allergic rhinitis due to pollen
Allergic and chronic rhinitis,,,Diagnosis of Allergic and chronic rhinitis,J302,Other seasonal allergic rhinitis
Allergic and chronic rhinitis,,,Diagnosis of Allergic and chronic rhinitis,J303,Other allergic rhinitis
Allergic and chronic rhinitis,,,Diagnosis of Allergic and chronic rhinitis,J304,"Allergic rhinitis, unspecified"
Allergic and chronic rhinitis,,,Diagnosis of Allergic and chronic rhinitis,J310,Chronic rhinitis
Sickle-cell trait,,,Diagnosis of Sickle-cell trait,D573,Sickle-cell trait
Pleural plaque,,,Diagnosis of Pleural plaque,J920,Pleural plaque with presence of asbestos
Pleural plaque,,,Diagnosis of Pleural plaque,J929,Pleural plaque without asbestos
Vitamin B12 deficiency anaemia,,,Diagnosis of Vitamin B12 deficiency anaemia,D51,Vitamin B12 deficiency anaemia
Secondary Malignancy_Other organs,,,Diagnosis of Secondary Malignancy_Other organs,C781,Secondary malignant neoplasm of mediastinum
Secondary Malignancy_Other organs,,,Possible diagnosis of Secondary Malignancy_Other organs,C783,Secondary malignant neoplasm of other and unspecified respiratory organs
Secondary Malignancy_Other organs,,,Possible diagnosis of Secondary Malignancy_Other organs,C788,Secondary malignant neoplasm of other and unspecified digestive organs
Secondary Malignancy_Other organs,,,Diagnosis of Secondary Malignancy_Other organs,C790,Secondary malignant neoplasm of kidney and renal pelvis
Secondary Malignancy_Other organs,,,Diagnosis of Secondary Malignancy_Other organs,C791,Secondary malignant neoplasm of bladder and other and unspecified urinary organs
Secondary Malignancy_Other organs,,,Diagnosis of Secondary Malignancy_Other organs,C792,Secondary malignant neoplasm of skin
Secondary Malignancy_Other organs,,,Diagnosis of Secondary Malignancy_Other organs,C796,Secondary malignant neoplasm of ovary
Secondary Malignancy_Other organs,,,Possible diagnosis of Secondary Malignancy_Other organs,C798,Secondary malignant neoplasm of other specified sites
Secondary Malignancy_Other organs,,,Possible diagnosis of Secondary Malignancy_Other organs,C799,"Secondary malignant neoplasm, unspecified site"
Benign neoplasm of stomach and duodenum,,,Diagnosis of Benign neoplasm of stomach and duodenum,K317,Polyp of stomach and duodenum
Benign neoplasm of stomach and duodenum,,,Diagnosis of Benign neoplasm of stomach and duodenum,D131,Benign neoplasm: Stomach
Benign neoplasm of stomach and duodenum,,,Diagnosis of Benign neoplasm of stomach and duodenum,D132,Benign neoplasm: Duodenum
Benign neoplasm of stomach and duodenum,,,Diagnosis of Benign neoplasm of stomach and duodenum,D133,Benign neoplasm: Other and unspecified parts of small intestine
Raynaud's syndrome,,,Diagnosis of Raynaud's syndrome,I730,Raynaud's syndrome
Post-term infant,,,Diagnosis of Post-term infant,P082,"Post-term infant, not heavy for gestational age"
Thalassaemia trait,,,Diagnosis of Thalassaemia trait,D563,Thalassaemia trait
Psoriatic arthropathy,,,Diagnosis of Psoriatic arthropathy,M070,Distal interphalangeal psoriatic arthropathy
Psoriatic arthropathy,,,Diagnosis of Psoriatic arthropathy,M071,Arthritis mutilans
Psoriatic arthropathy,,,Diagnosis of Psoriatic arthropathy,M072,Psoriatic spondylitis
Psoriatic arthropathy,,,Diagnosis of Psoriatic arthropathy,M073,Other psoriatic arthropathies
Psoriatic arthropathy,,,Diagnosis of Psoriatic arthropathy,L405,Arthropathic psoriasis
Coeliac disease,,,Diagnosis of Coeliac disease,K900,Coeliac disease
Folate deficiency anaemia,,,Diagnosis of Folate deficiency anaemia,D52,Folate deficiency anaemia
Peripheral arterial disease,L50,Other emergency bypass of iliac artery,PAD procedure performed (3),,
Peripheral arterial disease,L501,Emergency bypass of common iliac artery by anastomosis of aorta to common iliac artery NEC,PAD procedure performed (3),,
Peripheral arterial disease,L502,Emergency bypass of iliac artery by anastomosis of aorta to external iliac artery NEC,PAD procedure performed (3),,
Peripheral arterial disease,L503,Emergency bypass of artery of leg by anastomosis of aorta to common femoral artery NEC,PAD procedure performed (3),,
Peripheral arterial disease,L504,Emergency bypass of artery of leg by anastomosis of aorta to deep femoral artery NEC,PAD procedure performed (3),,
Peripheral arterial disease,L505,Emergency bypass of iliac artery by anastomosis of iliac artery to iliac artery NEC,PAD procedure performed (3),,
Peripheral arterial disease,L506,Emergency bypass of artery of leg by anastomosis of iliac artery to femoral artery NEC,PAD procedure performed (3),,
Peripheral arterial disease,L508,Other specified other emergency bypass of iliac artery,PAD procedure performed (3),,
Peripheral arterial disease,L509,Unspecified other emergency bypass of iliac artery,PAD procedure performed (3),,
Peripheral arterial disease,L51,Other bypass of iliac artery,PAD procedure performed (3),,
Peripheral arterial disease,L511,Bypass of common iliac artery by anastomosis of aorta to common iliac artery NEC,PAD procedure performed (3),,
Peripheral arterial disease,L512,Bypass of iliac artery by anastomosis of aorta to external iliac artery NEC,PAD procedure performed (3),,
Peripheral arterial disease,L513,Bypass of artery of leg by anastomosis of aorta to common femoral artery NEC,PAD procedure performed (3),,
